UF,Cidade,lat,lng,Participantes
MG,Várzea da Palma,-17.59440041,-44.72259903,5
BA,Vera Cruz,-29.71839905,-52.51520157,1
BA,Vera Cruz,-22.21829987,-49.8207016,1
BA,Vera Cruz,-12.95680046,-38.61529922,1
BA,Vera Cruz,-6.04399014,-35.4280014,1
ES,Viana,-20.38249969,-40.49330139,1
ES,Viana,-3.20450997,-44.99119949,1
ES,Vila velha,-20.3416996,-40.28749847,3
BA,Vitória da conquista ,-14.86149979,-40.84420013,28
BA,Xique-xique,-10.82299995,-42.72449875,1
